state,value
Aguascalientes,6.5
Baja California,78.7
Baja California Sur,9.8
Campeche,8.2
Coahuila,7.7
Colima,94.9
Chiapas,9.7
Chihuahua,92.7
Ciudad de Mexico,14.5
Durango,9.2
Guanajuato,87.1
Guerrero,42.6
Hidalgo,11.9
Jalisco,26.8
México,18.2
Michoacan,50.5
Morelos,50.1
Nayarit,15
Nuevo Leon,15.9
Oaxaca,21.2
Puebla,15.7
Queretaro,9.6
Quintana Roo,33.8
San Luis Potosi,28.5
Sinaloa,28.6
Sonora,53.7
Tabasco,24.3
Tamaulipas,22.7
Tlaxcala,11.5
Veracruz,14.6
Yucatan,3.1
Zacatecas,76.7